delivery_id,food_ready_time,dropoff_lat,dropoff_long,PackageWeight
148,2/3/2015 3:02,37.575176,-122.349735,0.151923901
149,2/3/2015 3:13,37.4266996,-122.1617008,3.392129716
150,2/3/2015 3:10,37.391933,-122.115316,3.653369099
151,2/3/2015 3:02,37.569504,-122.333334,1.853916076
152,2/3/2015 3:05,37.4285957,-122.1901236,0.186507563
153,2/3/2015 3:15,37.455802,-122.147683,4.554844493
154,2/3/2015 3:17,37.36169423,-122.0584345,3.023409487
155,2/3/2015 2:50,37.547617,-122.328676,2.947775955
156,2/3/2015 3:06,37.412495,-122.119871,4.178354028
157,2/3/2015 3:08,37.4473465,-122.1565399,3.034330568
158,2/3/2015 2:55,37.4503569,-122.181878,1.788941219
159,2/3/2015 3:16,37.3869627,-122.1028015,3.175336291
160,2/3/2015 3:09,37.452955,-122.181766,1.16185748
161,2/3/2015 3:22,37.47561189,-122.144718,1.259096538
162,2/3/2015 2:53,37.4057887,-122.0790231,1.542697228
163,2/3/2015 3:18,37.565717,-122.328901,2.911499119
164,2/3/2015 3:35,37.4435209,-122.158181,0.680549435
165,2/3/2015 3:14,37.4198356,-122.1249828,5.34416057
166,2/3/2015 3:18,37.3929717,-122.0591649,1.291272412
167,2/3/2015 3:14,37.42447,-122.2173,2.126055125
168,2/3/2015 3:11,37.38772921,-122.0441345,3.908577534
169,2/3/2015 3:14,37.4601339,-122.19191,1.597557521
170,2/3/2015 3:11,37.3874558,-122.0844835,0.912033457
171,2/3/2015 3:15,37.424239,-122.178086,0.657185224
172,2/3/2015 3:12,37.4008229,-122.0826197,8.480665064
173,2/3/2015 3:07,37.5447835,-122.2925992,6.246450035
174,2/3/2015 3:03,37.443916,-122.146483,3.443993811
175,2/3/2015 3:05,37.434009,-122.127244,6.236471628
176,2/3/2015 3:27,37.45517336,-122.132943,0.348926516
177,2/3/2015 3:11,37.448996,-122.144017,4.714417576
178,2/3/2015 3:26,37.39922633,-122.107059,0.649052454
179,2/3/2015 3:11,37.5605304,-122.3255325,2.830566567
180,2/3/2015 3:06,37.457688,-122.150433,1.296432132
181,2/3/2015 3:18,37.4346109,-122.141282,1.078281939
182,2/3/2015 3:13,37.43055832,-122.1842364,4.458214523
183,2/3/2015 3:16,37.406587,-122.090225,0.18585572
184,2/3/2015 3:25,37.41974,-122.102868,3.603045192
185,2/3/2015 3:04,37.573599,-122.393965,0.346545803
186,2/3/2015 3:21,37.4053141,-122.1043718,0.323940241
187,2/3/2015 3:27,37.395865,-122.08499,1.025517291
188,2/3/2015 3:11,37.4482334,-122.1656494,8.299321007
189,2/3/2015 3:23,37.338644,-122.029309,4.287121324
190,2/3/2015 3:03,37.42656602,-122.1614141,3.310275405
191,2/3/2015 3:12,37.4412756,-122.1591753,5.515168593
192,2/3/2015 3:11,37.44683831,-122.1680396,0.053815908
193,2/3/2015 3:10,37.44304969,-122.1773126,1.545492285
194,2/3/2015 3:21,37.4072721,-122.1080943,0.114072936
195,2/3/2015 3:18,37.4187893,-122.1290791,4.503963049
196,2/3/2015 3:10,37.558239,-122.326718,2.651709947
197,2/3/2015 3:22,37.45868874,-122.1777619,1.529173624
198,2/3/2015 3:33,37.3667834,-122.0332728,9.27968271
199,2/3/2015 3:18,37.585354,-122.384363,4.605460845
200,2/3/2015 3:07,37.400274,-122.0297602,1.944919591
201,2/3/2015 3:15,37.3836055,-122.0725311,1.054988803
202,2/3/2015 3:26,37.401704,-122.0229,3.474227444
203,2/3/2015 3:31,37.4476267,-122.1407461,9.22508223
204,2/3/2015 3:26,37.448382,-122.154511,3.295952021
205,2/3/2015 3:23,37.583602,-122.342913,8.194408478
206,2/3/2015 3:23,37.3982377,-122.0523289,5.234776843
207,2/3/2015 3:29,37.41207,-122.088426,0.164958305
