,delivery_id,food_ready_time,dropoff_lat,dropoff_long,PackageWeight,Road_Distance
132,133,2/3/2015 3:07,37.4314328,-122.1897705,4.350342832,2.568250617
133,134,2/3/2015 2:56,37.4175033,-122.0894899,4.15992297,5.572952225
134,135,2/3/2015 3:00,37.3852509,-122.070628,6.474001411,7.025841897
135,136,2/3/2015 3:09,37.403421,-122.061741,2.838102245,7.689528262
136,137,2/3/2015 2:51,37.4469855,-122.1682364,6.899019361,0.973315534
137,138,2/3/2015 3:00,37.3918709,-122.0636164,1.253400209,7.15626767
138,139,2/3/2015 2:53,37.491386,-122.26068,0.197096756,7.697543948
139,140,2/3/2015 2:59,37.43952791,-122.2426876,8.271294202,7.068654359
140,141,2/3/2015 3:04,37.4463958,-122.1561979,0.655941338,1.106413203
141,142,2/3/2015 3:10,37.401791,-122.013073,1.100779747,10.91972541
142,143,2/3/2015 3:08,37.432874,-122.13529,0.839723028,2.351019316
143,144,2/3/2015 3:11,37.4047873,-122.114942,1.753738415,3.987461981
144,145,2/3/2015 3:02,37.5652199,-122.328798,1.034036868,15.71770372
145,146,2/3/2015 3:00,37.45625,-122.143652,7.860485795,2.01324204
146,147,2/3/2015 2:53,37.431622,-122.133105,1.655330208,2.49126275
147,148,2/3/2015 3:02,37.575176,-122.349735,0.151923901,17.48264591
148,149,2/3/2015 3:13,37.4266996,-122.1617008,3.392129716,1.518444313
149,150,2/3/2015 3:10,37.391933,-122.115316,3.653369099,4.733293593
150,151,2/3/2015 3:02,37.569504,-122.333334,1.853916076,16.11196362
151,152,2/3/2015 3:05,37.4285957,-122.1901236,0.186507563,2.455223232
152,153,2/3/2015 3:15,37.455802,-122.147683,4.554844493,1.770348116
153,154,2/3/2015 3:17,37.36169423,-122.0584345,3.023409487,10.47059845
154,155,2/3/2015 2:50,37.547617,-122.328676,2.947775955,14.82771404
155,156,2/3/2015 3:06,37.412495,-122.119871,4.178354028,3.484834979
156,157,2/3/2015 3:08,37.4473465,-122.1565399,3.034330568,1.1223203
157,158,2/3/2015 2:55,37.4503569,-122.181878,1.788941219,1.643836981
158,159,2/3/2015 3:16,37.3869627,-122.1028015,3.175336291,5.617815211
159,160,2/3/2015 3:09,37.452955,-122.181766,1.16185748,1.811793562
160,161,2/3/2015 3:22,37.47561189,-122.144718,1.259096538,3.743822412
161,162,2/3/2015 2:53,37.4057887,-122.0790231,1.542697228,6.599084294
162,163,2/3/2015 3:18,37.565717,-122.328901,2.911499119,15.72727283
163,164,2/3/2015 3:35,37.4435209,-122.158181,0.680549435,0.931372992
164,165,2/3/2015 3:14,37.4198356,-122.1249828,5.34416057,2.981835155
165,166,2/3/2015 3:18,37.3929717,-122.0591649,1.291272412,7.324348525
166,167,2/3/2015 3:14,37.42447,-122.2173,2.126055125,4.339841475
167,168,2/3/2015 3:11,37.38772921,-122.0441345,3.908577534,8.817005942
168,169,2/3/2015 3:14,37.4601339,-122.19191,1.597557521,2.427075126
169,170,2/3/2015 3:11,37.3874558,-122.0844835,0.912033457,6.01058382
170,171,2/3/2015 3:15,37.424239,-122.178086,0.657185224,2.072831519
