Pair,Distance
"(39, 6)",7.725194958
"(6, 39)",7.725194958
"(39, 7)",14.99337154
"(7, 39)",14.99337154
"(39, 8)",13.80325967
"(8, 39)",13.80325967
"(39, 9)",0.60745229
"(9, 39)",0.60745229
"(40, 1)",12.07441913
"(1, 40)",12.07441913
"(40, 2)",9.578744651
"(2, 40)",9.578744651
"(40, 3)",11.86147529
"(3, 40)",11.86147529
"(40, 4)",14.86748178
"(4, 40)",14.86748178
"(40, 5)",14.65981959
"(5, 40)",14.65981959
"(40, 6)",14.59010177
"(6, 40)",14.59010177
"(40, 7)",18.47876576
"(7, 40)",18.47876576
"(40, 8)",17.28865388
"(8, 40)",17.28865388
"(40, 9)",4.44131136
"(9, 40)",4.44131136
"(41, 1)",0.770748588
"(1, 41)",0.770748588
"(41, 2)",3.315946342
"(2, 41)",3.315946342
"(41, 3)",1.163641472
"(3, 41)",1.163641472
"(41, 4)",3.993365006
"(4, 41)",3.993365006
"(41, 5)",4.560303906
"(5, 41)",4.560303906
"(41, 6)",2.056613736
"(6, 41)",2.056613736
"(41, 7)",9.076987568
"(7, 41)",9.076987568
"(41, 8)",5.441780807
"(8, 41)",5.441780807
"(41, 9)",8.98931212
"(9, 41)",8.98931212
"(42, 1)",8.201475829
"(1, 42)",8.201475829
"(42, 2)",6.44510856
"(2, 42)",6.44510856
"(42, 3)",7.988531987
"(3, 42)",7.988531987
"(42, 4)",9.775967806
"(4, 42)",9.775967806
"(42, 5)",12.39299605
"(5, 42)",12.39299605
"(42, 6)",8.289896922
"(6, 42)",8.289896922
"(42, 7)",14.60582245
"(7, 42)",14.60582245
"(42, 8)",13.41571058
"(8, 42)",13.41571058
"(42, 9)",1.376958136
"(9, 42)",1.376958136
"(43, 1)",4.735716939
"(1, 43)",4.735716939
"(43, 2)",4.932070175
"(2, 43)",4.932070175
"(43, 3)",5.33565064
"(3, 43)",5.33565064
"(43, 4)",0.592974345
"(4, 43)",0.592974345
"(43, 5)",0.385374294
"(5, 43)",0.385374294
"(43, 6)",3.880461895
"(6, 43)",3.880461895
"(43, 7)",9.447697507
"(7, 43)",9.447697507
"(43, 8)",6.625554699
"(8, 43)",6.625554699
"(43, 9)",12.5093167
"(9, 43)",12.5093167
"(44, 1)",5.651742068
"(1, 44)",5.651742068
"(44, 2)",4.821776823
"(2, 44)",4.821776823
"(44, 3)",5.438798226
"(3, 44)",5.438798226
"(44, 4)",8.152698206
"(4, 44)",8.152698206
"(44, 5)",10.19446117
"(5, 44)",10.19446117
"(44, 6)",8.167486835
"(6, 44)",8.167486835
"(44, 7)",12.05608869
"(7, 44)",12.05608869
"(44, 8)",10.86597681
"(8, 44)",10.86597681
"(44, 9)",3.958692504
"(9, 44)",3.958692504
"(45, 1)",2.119061521
"(1, 45)",2.119061521
"(45, 2)",3.447987679
"(2, 45)",3.447987679
"(45, 3)",3.010293947
"(3, 45)",3.010293947
"(45, 4)",3.505029537
"(4, 45)",3.505029537
"(45, 5)",4.071968437
"(5, 45)",4.071968437
"(45, 6)",0.304098967
"(6, 45)",0.304098967
"(45, 7)",5.546233272
"(7, 45)",5.546233272
"(45, 8)",3.895126251
"(8, 45)",3.895126251
"(45, 9)",11.22711764
"(9, 45)",11.22711764
"(46, 1)",8.229499661
"(1, 46)",8.229499661
"(46, 2)",12.35024572
"(2, 46)",12.35024572
"(46, 3)",8.95053857
"(3, 46)",8.95053857
"(46, 4)",10.29412908
"(4, 46)",10.29412908
"(46, 5)",10.08646689
"(5, 46)",10.08646689
"(46, 6)",5.855800304
"(6, 46)",5.855800304
"(46, 7)",0.334981106
"(7, 46)",0.334981106
"(46, 8)",2.443852143
"(8, 46)",2.443852143
"(46, 9)",16.00962382
"(9, 46)",16.00962382
"(47, 1)",10.30574872
"(1, 47)",10.30574872
"(47, 2)",6.904177455
"(2, 47)",6.904177455
"(47, 3)",10.09280488
"(3, 47)",10.09280488
"(47, 4)",11.66698617
"(4, 47)",11.66698617
"(47, 5)",11.45932398
"(5, 47)",11.45932398
"(47, 6)",9.168764065
"(6, 47)",9.168764065
"(47, 7)",16.71009534
"(7, 47)",16.71009534
"(47, 8)",15.51998347
"(8, 47)",15.51998347
"(47, 9)",2.260734109
"(9, 47)",2.260734109
"(48, 1)",3.291899284
"(1, 48)",3.291899284
"(48, 2)",4.217679937
"(2, 48)",4.217679937
"(48, 3)",3.891770847
"(3, 48)",3.891770847
"(48, 4)",1.334891319
"(4, 48)",1.334891319
"(48, 5)",1.90183022
"(5, 48)",1.90183022
"(48, 6)",2.436582102
"(6, 48)",2.436582102
"(48, 7)",10.96415343
"(7, 48)",10.96415343
"(48, 8)",6.19550383
"(8, 48)",6.19550383
"(48, 9)",8.800477473
"(9, 48)",8.800477473
"(49, 1)",4.927844853
"(1, 49)",4.927844853
"(49, 2)",5.124198089
"(2, 49)",5.124198089
"(49, 3)",5.527716416
"(3, 49)",5.527716416
"(49, 4)",0.785102259
"(4, 49)",0.785102259
"(49, 5)",0
"(5, 49)",0
"(49, 6)",4.072589808
"(6, 49)",4.072589808
"(49, 7)",9.669526954
"(7, 49)",9.669526954
"(49, 8)",6.847384146
"(8, 49)",6.847384146
"(49, 9)",12.73114614
"(9, 49)",12.73114614
"(50, 1)",1.560573267
"(1, 50)",1.560573267
"(50, 2)",2.367547784
"(2, 50)",2.367547784
"(50, 3)",1.147920785
"(3, 50)",1.147920785
"(50, 4)",4.184871548
"(4, 50)",4.184871548
"(50, 5)",4.751810448
"(5, 50)",4.751810448
"(50, 6)",2.648158928
"(6, 50)",2.648158928
"(50, 7)",9.563521061
"(7, 50)",9.563521061
"(50, 8)",6.407080655
"(8, 50)",6.407080655
"(50, 9)",7.969455898
"(9, 50)",7.969455898
"(51, 1)",2.849358858
"(1, 51)",2.849358858
"(51, 2)",3.455071308
"(2, 51)",3.455071308
"(51, 3)",3.449230421
"(3, 51)",3.449230421
"(51, 4)",2.111232247
"(4, 51)",2.111232247
"(51, 5)",2.678171147
